2016-17,name,2017-18,2018-19,2019-20_x,2019-20_y,cross_season_id
,Marvelous Nakamba,,,,491.0,0b7518e4-81d7-48a5-9d6e-bad9a044ba66
,Jack Stacey,,,,446.0,55f8222e-7f47-494e-a142-44a22d59f68e
,Arnaut Danjuma Groeneveld,,,,492.0,e29dc129-d2a2-4035-a563-31524511cebc
,Adam Webster,,,,493.0,19a2b0bb-504e-4cb3-83c6-fe04f1386a32
,Neal Maupay,,,,502.0,ce48b563-f78b-4725-a028-fb71753273ab
,Bailey Peacock-Farrell,,,,495.0,d5111c81-f829-4f7e-be0d-49a8a64d980e
,Christian Pulisic,,,,431.0,b229f956-0971-45cd-9454-aa26e3431268
,Mason Mount,,,,463.0,1d82e169-3adb-477b-815f-7293c089968f
,Lewis Gibson,,,,477.0,1759ae56-45a4-4870-8691-e1195ab90db4
,Moise Kean,,,,496.0,0e8b65f9-14b0-4ba7-99f1-814af3eb5146
,Jean-Philippe Gbamin,,,,497.0,4ad12c36-8fbf-49e0-b9dc-c201b34379d1
,James Justin,,,,433.0,692f661a-adb3-4531-889e-aad0811066f5
,José Ángel Esmorís Tasende,,,,440.0,cad68ce6-8cbf-4859-bd2d-4e64d51cd877
,Rodrigo Hernandez,,,,443.0,f05add83-8b2b-4fc6-a522-ef98469035ec
,Joelinton Cássio Apolinário de Lira,,,,466.0,d332c46b-907d-4a8d-9df6-86cd26fc28fd
,Jetro Willems,,,,498.0,60069299-5529-4b17-a8ef-d78f34537d86
,Allan Saint-Maximin,,,,500.0,2809dbfb-90d6-477b-9277-8c95093ae761
,Josip Drmic,,,,434.0,b63238e1-0c45-40cd-b730-bbd3b360ad22
,Patrick Roberts,,,,435.0,fd0c8a4f-e214-4dc2-b91c-c987204278f4
,Ralf Fahrmann,,,,449.0,105559de-9068-4af1-b937-b3b003a3ef1b
,Philip Heise,,,,484.0,298fed4c-7014-470f-be7e-bd413562efb3
,Simon Moore,,,,436.0,7ba5e0d9-25cd-4b07-9c4d-e7cc3964407e
,Luke Freeman,,,,441.0,c9bf2d78-f124-4bd1-b4b1-8503a98f76f2
